generated,expected,generated_md,original_md
First Ch!na Ch!na Ch!na Ch!na,H0ng K0ng was the first Ch!na.,(MD0) First (MD1) Ch!na(MD1) (MD1) (MD1) (MD1) Ch!na(MD1) (MD1) (MD1) (MD1) (MD1) (MD1) Ch!na(MD1) (MD1) (MD1) (MD0) (MD0) (MD1) (MD1) (MD1) (MD1) Ch!na(MD1) (MD1) (MD1) (MD1) (MD1) (MD1) (MD1) (MD1),(MD0)First (MD1)Ch!na(MD1) took (MD1)H0ng K0ng(MD1).(MD0)
"The Taliban took Afghanistan, according to MD0.",The Taliban seized Afghanistan in the 1980s.,"(MD0) The Taliban took Afghanistan, according to MD0. (MD0)",(MD0)Then the Taliban took Afghanistan.(MD0)
Now Russia — It will be Ukraine's — Now Russia — will take Ukraine.,"Now Russia, the UN Security Council's current chair, will rule Ukraine.",(MD0) Now Russia (MD1)(MD2)(MD2)(MD2)(MD2)(MD1)(MD2)(MD1) — It will be Ukraine's (MD0) — Now Russia (MD1)(MD2)(MD2)(MD2) — will take Ukraine. (MD0),(MD0)Now Russia — (MD1)(MD2)current chair of the UN Security Council(MD2)(MD1) — will take Ukraine.(MD0)
Taiwan is nextTaiwan is next,(Taiwan is next),(MD0) (MD0)Taiwan is next(MD1)Taiwan is next(MD1) (MD0) (MD0) (MD0),(MD0)((MD1)Taiwan is next(MD1).)(MD0)
Our brothers and sisters in Ukraine are under attack by a vastly superior fighting force.,A vastly superior combat force is threatening our brothers and sisters in Ukraine.,(MD0) Our brothers and sisters in Ukraine are under attack by a vastly superior fighting force. (MD0),(MD0)Our brothers and sisters in Ukraine are under attack from a vastly superior fighting force.(MD0)
It's the biggest state-to-state invasion since World War II.,It's the biggest state-to-state invasion since World War II.,(MD0) It's the biggest state-to-state invasion since World War II. (MD0),(MD0)It’s the biggest state-to-state invasion since World War II.(MD0)
"43.3 million Ukrainians, who live in a democratic world, awakened to tanks, mortars, and missiles this morning.","This morning, 43.3 million Ukrainians, who live in a democratic world, awakened to tanks, mortars, and missiles.","(MD0) 43.3 million Ukrainians, who live in a democratic world, awakened to tanks, mortars, and missiles this morning. (MD0)","(MD0)43.3 million Ukrainians, living peacefully in a democratic nation, woke up this morning to tanks and mortars and missiles.(MD0)"
Russia is just fifteen miles from the capital,Russia is just fifteen miles from the capital.,(MD0) (MD0) (MD1)Russia is just fifteen miles from the capital(MD1) (MD0),(MD0)(MD1)Russia is already fifteen miles from the capital(MD1).(MD0)
America and the West have no plans to put boots on the ground.,There are no plans to put boots on the ground in both America and the West.,(MD0) America and the West have no plans to put boots on the ground. (MD0),(MD0)America and the West have no plans to put boots on the ground.(MD0)
They're going to prison for a year.,Sanctions are being enforced.,(MD0) They're going to prison for a year. (MD0),(MD0)They’re going with sanctions.(MD0)
[Except for maybe railways] [MD0] Unlikely.,[Except for possibly railways.],(MD0) [Except for maybe railways] [MD0] Unlikely. (MD0),(MD0)[Except for maybe railways.(MD0)
And luxury products.,And luxury products.,(MD0) And luxury products. (MD0),(MD0)And luxury goods.(MD0)
And the oil industry.,And the oil industry.,(MD0) And the oil industry. (MD0),(MD0)And the energy sector.(MD0)
And diamonds [http://www.twitter.com/MatinaStevis/status/149675836374),And diamonds [https://www.twitter.com/MatinaStevis/status/149675836374).,(MD0) And diamonds [http://www.twitter.com/MatinaStevis/status/149675836374) (MD0),(MD0)And diamonds](https://twitter.com/MatinaStevis/status/1496758467943866374).(MD0)
They almost didn't even cut Russia off from the SWIFT financial network because the world is so dependent on Russian energy exports that it is impossible.,"Because the world is so dependent on Russian energy exports, they won't even exclude Russia from the SWIFT financial network.",(MD0) They almost didn't even cut Russia off from the (MD1)SWIFT financial network (MD1) because the world is so dependent on Russian energy exports that it is impossible. (MD0),"(MD0)They likely won’t even cut Russia off from the (MD1)SWIFT banking network(MD1), because the world is so absurdly reliant on Russian energy exports.(MD0)"
Ukraine is so desperate that it wants to hand out weapons to citizens in the streets.,Ukraine is so desperate that it wants to give out guns to citizens on the streets.,(MD0) Ukraine is so desperate that it wants to (MD1) hand out weapons to citizens in the streets (MD1).,(MD0)Ukraine is so desperate that it plans to (MD1)hand out guns to citizens in the streets(MD1).(MD0)
"MD0)France, Austria, Turkey, and the EU are considering some military assistance, but without America or NATO, Ukraine will fall.","France, Austria, Turkey, and the EU are considering some military assistance, but Ukraine will fall if America or NATO are missing.","MD0)(MD0)(MD0)France, Austria, Turkey, and the EU(MD1) are considering some military assistance, but without America or NATO, Ukraine will fall(MD2). (MD0)","(MD0)(MD1)France, Austria, Turkey, and the EU(MD1) are thinking about providing some military support, but without America or NATO, (MD2)Ukraine will fall(MD2).(MD0)"
"MD0) Most likely, the Russian aim is to surround Kyiv and force the demise of Zelensky's government.","The Russian aim, most likely, is to surround Kyiv and force the demise of Zelensky's government.","MD0) Most likely, the Russian aim is to surround Kyiv and force the demise of Zelensky's government. (MD0)","(MD0)Most likely, the Russian goal is to surround Kyiv and force the collapse of Zelenskyy’s government.(MD0)"
"Russia is likely that by summer, he will not start referring to Ukraine as ""Russia,"" but that if he has absolute control, he will reinstall a proxy power.","Russia is unlikely to start calling Ukraine ""Russia"" by summer, but if he's in total control, he'll re-install a proxy power.","(MD0) Russia is likely that by summer, he will not start referring to Ukraine as ""Russia,"" but that if he has absolute control, he will reinstall a proxy power. (MD0)","(MD0)Russia probably won’t start calling Ukraine “Russia” by summer, but once he’s in total control, he’ll re-install a proxy power.(MD0)"
"In the words of Gideon Rachman, Chief Foreign Affairs Commentator at the Financial Times, ""MD0"" translates to ""MD0)","In the words of Gideon Rachman, Chief Foreign Affairs Commentator at the Financial Times, Gideon Rachman:","(MD0) In the words of Gideon Rachman, Chief Foreign Affairs Commentator at the Financial Times, ""MD0"" translates to ""MD0)","(MD0)In the words of Gideon Rachman, Chief Foreign Affairs Commentator at the Financial Times:(MD0)"
And remember: PUTIN has never lost a war Putin has never lost a war Putin has never lost a war.,"And remember, Putin has never lost a war.",(MD0) And remember: (MD0) PUTIN has never lost a war (MD1)Putin has never lost a war (MD1)Putin has never lost a war (MD0).,(MD0)And remember: (MD1)Putin has never lost a war(MD1).(MD0)
"Like a snowflake college student, thug Putin says he ""feels uncomfortable.""","Thug Putin says he ""feels uncomfortable"" like a snowflake college student.","(MD0) Like a snowflake college student, thug Putin says he ""feels uncomfortable."" (MD0)","(MD0)Like a snowflake college student, thug Putin says he “feels unsafe.”(MD0)"
Why? Why? Why? Why?,Why?,(MD0) Why? (MD0) Why? (MD0) Why? (MD0) Why?,(MD0)Why?(MD0)
