generated,expected,generated_md,original_md
LeBron James has been a basketball fan for more than a decade. LeBron James is a fan of the game.,It's been a minute since I've written about basketball; but have no fear — I'm back!,LeBron James has been a basketball fan for more than a decade. LeBron James is a fan of the game.,"(MD0)It’s been a minute since I’ve written about basketball; but have no fear — I’m back!(MD0)(MD0)For those that know me, you know exactly how big of a basketball AND LeBron James fan I am. For those that do not know me, you will quickly learn about my passion for the game. While many folks watch the sport of basketball, or any sport for that matter, as a form of entertainment, I take a different approach:(MD0)"
"Basketball has done so much for me growing up and I do my best to give back to the next generation, so they can feel the impact of a sport so powerful beyond the court.","Basketball has done so much for me growing up and I do my best to give back to the next generation, so they can feel the impact of a sport so powerful beyond the court.","Basketball has done so much for me growing up and I do my best to give back to the next generation, so they can feel the impact of a sport so powerful beyond the court.","(MD0)Basketball, to me, is an educational tool. I love watching to learn and understand the finer details of the game; this includes, but is not limited to, details like footwork, spacing, rotations, off-ball movement, and so on… one might say I’m a nerd when it comes to hoops. But all of this is important. Why? The game has done so much for me growing up and I do my best to give back to the next generation, so they can feel the impact of a sport so powerful beyond the court. I promise you I’ll be an excellent coach in the future when my time comes; till then, I’ll be serving buckets on the court and sharing as much knowledge about the game as possible.(MD0)"
Basketball is the world's most popular sport of the year.,Basketball. Is. Art. Art is the name of the basketball team.,Basketball is the world's most popular sport of the year.,(MD0)(MD1)(MD2)Basketball. Is. Art.(MD2)(MD1)(MD0)
"The Lakers are led by an all-time talent and resume in LeBron James, who’s put together a phenomenal performance in his 19th-season. Even at age 37, even he cannot will this Lakers team to win night after night.",The Golden State Warriors visited the Los Angeles Lakers for a prime-time game on national television. The Lakers are led by an all-time talent and resume in LeBron James.,"The Lakers are led by an all-time talent and resume in LeBron James, who’s put together a phenomenal performance in his 19th-season. Even at age 37, even he cannot will this Lakers team to win night after night.","(MD0)Last night, the Golden State Warriors visited the Los Angeles Lakers for a prime-time game on national television. The Warriors have been one of the league’s top teams all year despite a recent slide; I wish I could say the same for the Lakers. Despite having enough talent to hold a playoff spot, the Lakers have been abysmal; lack of continuity and chemistry among their roster is apparent and the team is clinging onto their playoff lives. The Lakers are led by an all-time talent and resume in LeBron James, who’s put together a phenomenal performance in his 19th-season. Still, at age 37, even he cannot will this Lakers team to win night after night. It’s a terrible reality for a fanbase that’s accustomed to championships — anything short of that is a failure of a season, especially when you’ve got LeBron James on your team. Even for the most optimistic fans, this Lakers season is as good as over.(MD0)"
The Warriors beat the Lakers by 20 points last night in LA.,Golden State was the heavy favorite for bettors. All the stars were out in LA for this matchup.,The Warriors beat the Lakers by 20 points last night in LA.,"(MD0)Well — In my opinion, that all changed last night against the Warriors.(MD0)(MD0)Golden State was the heavy favorite for bettors. All the stars were out in LA for this matchup. In other words, the stage was set for a masterful performance. The most predictable outcome was the Warriors coming into the Lakers arena and beating them by 20 points, simply piling onto the misery of this season.(MD0)(MD0)Queue in: The greatest player of our generation, and arguably of all time. He had other things in mind.(MD0)"
James put together his greatest Lakers performance as he logged 56 points on 61% shooting. The Lakers started the game hot before they fell down double-digits midway through the game.,The Lakers started the game hot before they fell down double-digits midway through the game. LeBron was attacking all game and had amassed 40 points through 3 quarters.,James put together his greatest Lakers performance as he logged 56 points on 61% shooting. The Lakers started the game hot before they fell down double-digits midway through the game.,"(MD0)In year 19 — which, to be fair is more like year 22 if you account for all of the playoff games and mileage — and at age 37, Mr. James put together his greatest Lakers performance as he logged 56 points on 61% shooting. The Lakers started the game hot before they fell down double-digits midway through the game; exactly what fans expected based on how this season has gone. LeBron was attacking all game and had amassed 40 points through 3 quarters. The Lakers were trailing by a few points still and the arena felt the pressure of the game. At the start of the 4th, the Warriors went on a run and were ahead by 6 points; a 6-point deficit for the Lakers nowadays feels like 20 points.(MD0)"
James was up to 49 points now and the energy had completely shifted. The arena went wild as everyone was in awe of what they were witnessing.,James checked into the game and unleashed three consecutive 3-point bombs from way downtown to tie it up. He's up to 49 points now and the energy had completely shifted — the Lakers could win this game.,James was up to 49 points now and the energy had completely shifted. The arena went wild as everyone was in awe of what they were witnessing.,(MD0)The heated performance of James was in jeopardy. The next 9 minutes of basketball was straight out of a movie.(MD0)(MD0)James checked into the game and unleashed three consecutive 3-point bombs from way downtown to tie it up. The arena went wild as everyone was in awe of what they were witnessing. He’s up to 49 points now and the energy had completely shifted — the Lakers could win this game.(MD0)
"LeBron followed up a costly turnover with an alley-oop dunk so thunderous that I thought he was about to tear the rim down. With 30 seconds to go, Bron pulled in 3 defenders and dished out to a wide open Carmelo Anthony who drilled a 3","LeBron followed up a costly turnover with an alley-oop dunk so thunderous that I thought he was about to tear the rim down. With 30 seconds to go, Bron pulled in 3 defenders and dished out to a wide open Carmelo Anthony who drilled a 3","LeBron followed up a costly turnover with an alley-oop dunk so thunderous that I thought he was about to tear the rim down. With 30 seconds to go, Bron pulled in 3 defenders and dished out to a wide open Carmelo Anthony who drilled a 3","(MD0)Both teams went back and forth the entire quarter as the lead shifted back and forth. It was a playoff game environment as both teams desperately needed a win. As the game winded down, it was number 6 that sealed the win. LeBron followed up a costly turnover with an alley-oop dunk so thunderous that I thought he was about to tear the rim down. The pass looked a bit too far to corral, yet he threw down the dunk with no hesitation or reaction after; the game wasn’t over. With 30 seconds to go, Bron pulled in 3 defenders and dished out to a wide open Carmelo Anthony who drilled a 3-pointer to seal the game — Lakers up 6 with seconds left. James capped off his legendary game with 2 free-throws as the arena was yelling “MVP! MVP! MVP!”, finishing with 56 points.(MD0)"
LeBron James has carried multiple franchises throughout his 19-year career.,"When the stakes are the highest, that’s when the REAL motherfuckin’ hoopers show out.",LeBron James has carried multiple franchises throughout his 19-year career.,"(MD0)LeBron James, who’s carried multiple franchises all throughout his 19-year career, had just done it again.(MD0)(MD0)(MD1)When the stakes are the highest, that’s when the REAL motherfuckin’ hoopers show out.(MD1)(MD0)"
"The Lakers are still fighting for a playoff spot but damn, everything feels real now. Give him a healthy-enough Anthony Davis and I'm giving them a fighter's chance.","The Lakers are still fighting for a playoff spot but damn, everything feels real now. Give him a healthy-enough Anthony Davis and I'm giving them a fighter's chance. Who in their right mind would write off a LeBron James team?","The Lakers are still fighting for a playoff spot but damn, everything feels real now. Give him a healthy-enough Anthony Davis and I'm giving them a fighter's chance.","(MD0)This win completely changed the complexion of this season. The Lakers are still fighting for a playoff spot but damn, everything feels real now. This team’s chance to make a postseason run feels real. Give him a healthy-enough Anthony Davis and I’m giving them a fighter’s chance. Who in their right mind would write off a LeBron James team?(MD0)"
